idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
23425,088.5+01.9,Pa 150,T,20:57:10.1,48:34:29,314.29208,48.57472,88.53713,1.99549,9.0,B,
23432,035.7+19.2,Pa 157,T,17:47:08.51,11:00:20.9,266.78546,11.00581,35.72248,19.20433,30.0,E,a;r;s;
23436,026.1-17.6,Pa 161,T,19:43:28.58,-13:44:59.4,295.86908,-13.74983,26.19308,-17.63711,525.0,E,r;s;
23438,125.6+06.0,Pa 31,T,1:21:42.71,+68:47:13.1,20.42796,68.78697,125.67900,6.07685,35.0,E,p;s;
23440,032.6-01.7,Pa 35,T,18:56:55.31,-01:03:50.8,284.23046,-1.06411,32.60976,-1.70527,8.5,R,a;r;
23441,033.3-05.0,Pa 36,T,19:10:09.1,-01:52:29,287.53792,-1.87472,33.39530,-5.01800,7.5,E,a;
23446,312.7+09.5,Pa 42,T,13:54:49.6,-52:04:48,208.70667,-52.08000,312.73101,9.58160,33.0,E,a;
23447,356.5+19.1,Pa 43,T,16:28:24.62,-20:23:08.3,247.10258,-20.38564,356.58270,19.18712,49.0,R,
23463,125.7-01.4,Pa 59,T,01:14:39.0,61:19:44,18.66250,61.32889,125.71328,-1.41744,24.0,E,a;p;
23464,316.9+03.7,Pa 61,T,14:34:34.1,-56:18:33,218.64208,-56.30917,316.92410,3.73503,22.0,E,
23468,320.8+01.6,Pa 65,T,15:06:32.77,-56:26:05,226.63654,-56.43472,320.84141,1.66493,6.0,E,
23469,321.8+01.8,Pa 66,T,15:12:11.7,-55:44:57,228.04875,-55.74917,321.86785,1.85983,3.0,R,
23470,321.9+01.4,Pa 67,T,15:14:07.2,-56:05:06,228.53000,-56.08500,321.92552,1.43299,54.0,E,r;
23471,323.8+01.1,Pa 68,T,15:26:35.4,-55:19:13,231.64750,-55.32028,323.81776,1.13117,21.0,E,a;r;
23476,010.7+06.0,Pa 79,T,17:47:10.8,-16:39:51.4,266.79500,-16.66428,10.71009,6.03719,13.0,R,
23478,010.6+03.0,Pa 83,T,17:57:52.1,-18:14:54,269.46708,-18.24833,10.62775,3.03729,18.0,E,
23479,012.4+03.9,Pa 84,T,17:58:20.15,-16:12:21.8,269.58396,-16.20606,12.45860,3.95592,8.0,E,
23651,017.8+00.9,FBP4,T,18:19:47.144,-12:57:01.23,274.94643,-12.95034,17.82213,0.98665,5.0,S,
23701,041.3+00.5,FBP8,T,19:04:57.4,07:44:15.18,286.23900,7.73755,41.35409,0.53887,4.0,E,
23902,012.3-00.1,FBP2,T,18:13:12.153,-18:20:07.31,273.30064,-18.33536,12.33144,-0.18071,5.0,E,m;
23910,014.8+00.4,FBP3,T,18:15:53.202,-15:45:53.56,273.97168,-15.76488,14.89608,0.48385,,S,
23936,024.7-01.0,FBP6,T,18:40:06.72,-07:41:59.8,280.02800,-7.69994,24.79212,-1.00430,3.0,R,
23940,027.4-00.2,FBP7,T,18:42:15.84,-05:00:45.0,280.56600,-5.01250,27.42651,-0.24988,4.5,S,
23961,063.0+00.5,FBP11,T,19:48:23.28,+26:49:26.8,297.09700,26.82411,63.04548,0.59769,,,
24027,007.8-01.3,GPSR 007.836-1.344,T,18:08:17.699,-22:50:05.77,272.07375,-22.83494,7.83537,-1.34432,3.0,E,
31188,177.5+03.1,IPHASX J055226.2+323724,T,05:52:26.19,+32:37:24.8,88.10913,32.62356,177.58939,3.15176,445.0,B,a;s;
31737,070.8+03.0a,Ch 1,T,19:57:14.74,+34:47:11,299.31142,34.78639,70.86084,3.04606,60.0,B,p;
31751,336.0-01.9,DeGaPe 14,T,16:40:22.07,-49:32:55.3,250.09196,-49.54869,336.01704,-1.97499,34.0,S,m;
31779,068.3+02.6,Ou 7,T,19:52:45.42,+32:25:36.00,298.18925,32.42667,68.35392,2.63105,342.0,E,r;
31786,066.2+01.9,Pre 7,T,19:50:33.56,+30:15:21.7,297.63983,30.25603,66.24588,1.92743,36.0,B,a;
